branch,z,source,H_obs,sigma,H_model,residual,pull
planck_lcdm,0.4497,Moresco et al. (2016),92.8,12.9,86.44651355335098,-6.353486446649015,-0.492518329197598
planck_lcdm,0.47,Ratsimbazafy et al. (2017),89.0,50.0,87.51474474952686,-1.4852552504731449,-0.029705105009462898
planck_lcdm,0.4783,Moresco et al. (2016),80.9,9.0,87.956272395214,7.056272395213995,0.7840302661348884
planck_lcdm,0.48,Ratsimbazafy et al. (2017),97.0,62.0,88.04704485344459,-8.95295514655541,-0.14440250236379695
planck_lcdm,0.593,Moresco et al. (2012),104.0,13.0,94.33303003370892,-9.666969966291077,-0.7436130743300828
planck_lcdm,0.68,Moresco et al. (2012),92.0,8.0,99.49789221979957,7.497892219799567,0.9372365274749459
planck_lcdm,0.75,Borghi et al. (2022),98.8,33.6,103.84792765539225,5.047927655392257,0.15023594212476957
planck_lcdm,0.75,Jimenez et al. (2023),105.0,7.9,103.84792765539225,-1.1520723446077454,-0.1458319423554108
planck_lcdm,0.781,Moresco et al. (2012),105.0,12.0,105.82767751651687,0.8276775165168715,0.06897312637640596
planck_lcdm,0.8,Jiao et al. (2023),113.1,15.1,107.0568599709725,-6.043140029027498,-0.4002079489422184
planck_lcdm,0.875,Moresco et al. (2012),125.0,17.0,112.0231900383566,-12.976809961643397,-0.7633417624496116
planck_lcdm,0.88,Ratsimbazafy et al. (2017),90.0,40.0,112.3606384838617,22.360638483861706,0.5590159620965427
planck_lcdm,0.9,Simon et al. (2005),117.0,23.0,113.71822851048773,-3.2817714895122663,-0.14268571693531593
planck_lcdm,1.037,Moresco et al. (2012),154.0,20.0,123.3430038278252,-30.6569961721748,-1.53284980860874
planck_lcdm,1.26,Tomasetti et al. (2023b),135.0,65.0,140.14350237994532,5.143502379945318,0.07913080584531258
planck_lcdm,1.3,Simon et al. (2005),168.0,17.0,143.29573087623598,-24.70426912376402,-1.4531923013978836
planck_lcdm,1.363,Moresco (2015),160.0,33.6,148.34164879626437,-11.658351203735634,-0.34697473820641767
planck_lcdm,1.43,Simon et al. (2005),177.0,18.0,153.81412146583997,-23.185878534160025,-1.2881043630088902
planck_lcdm,1.53,Simon et al. (2005),140.0,14.0,162.17891803802416,22.178918038024165,1.5842084312874403
planck_lcdm,1.75,Simon et al. (2005),202.0,40.0,181.36965943607518,-20.63034056392482,-0.5157585140981205
planck_lcdm,1.965,Moresco (2015),186.5,50.4,201.10514100813822,14.605141008138219,0.28978454381226626
