branch,z,quantity,obs,sigma_diag,model,residual,naive_pull
io_iid,0.295,DV_over_rs,7.94167639,0.07609196324185624,8.225943247773637,0.2842668577736376,3.735832874624395
io_iid,0.51,DM_over_rs,13.58758434,0.16836678472905517,13.757734083805785,0.1701497438057853,1.0105897316955916
io_iid,0.51,DH_over_rs,21.86294686,0.42886832478046216,23.115654207102565,1.2527073471025645,2.920960291818767
io_iid,0.706,DM_over_rs,17.35069094,0.17993122074837373,17.994193050566764,0.6435021105667644,3.576378284381648
io_iid,0.706,DH_over_rs,19.45534918,0.33387003159912393,20.43117929334472,0.9758301133447205,2.922784380109907
io_iid,0.934,DM_over_rs,21.57563956,0.1617815860968114,22.2931786884889,0.7175391284889017,4.435233612183283
io_iid,0.934,DH_over_rs,17.64149464,0.20104324858099562,17.727631820490153,0.08613718049015162,0.4284509979724535
io_iid,1.321,DM_over_rs,27.60085612,0.32455587500459765,28.3226085546398,0.7217524346398001,2.223815651556379
io_iid,1.321,DH_over_rs,14.17602155,0.22455135092000672,14.110722059594163,-0.06529949040583638,-0.29079981099333674
io_iid,1.484,DM_over_rs,30.51190063,0.763557644844186,30.4755572058744,-0.036343424125600876,-0.0475974857576303
io_iid,1.484,DH_over_rs,12.81699964,0.5180117691713191,12.895706001020521,0.07870636102052053,0.1519393297693405
io_iid,2.33,DH_over_rs,8.631545674846294,0.10106245296844917,8.56016919952845,-0.07137647531784275,-0.7062610615648314
io_iid,2.33,DM_over_rs,38.988973961958784,0.5316820280957407,39.09605500246036,0.1070810405015763,0.20140052671160452
planck_lcdm,0.295,DV_over_rs,7.94167639,0.07609196324185624,8.053025270352151,0.11134888035215162,1.4633461354943915
planck_lcdm,0.51,DM_over_rs,13.58758434,0.16836678472905517,13.493960013676379,-0.09362432632362072,-0.5560736131790246
planck_lcdm,0.51,DH_over_rs,21.86294686,0.42886832478046216,22.730101485642066,0.8671546256420655,2.0219600645162177
planck_lcdm,0.706,DM_over_rs,17.35069094,0.17993122074837373,17.69243172168748,0.3417407816874807,1.8992856285090782
planck_lcdm,0.706,DH_over_rs,19.45534918,0.33387003159912393,20.161035477232463,0.7056862972324645,2.1136557056423033
planck_lcdm,0.934,DM_over_rs,21.57563956,0.1617815860968114,21.9848086806464,0.4091691206463999,2.5291451920959025
planck_lcdm,0.934,DH_over_rs,17.64149464,0.20104324858099562,17.56207405414398,-0.07942058585602041,-0.3950422927235167
planck_lcdm,1.321,DM_over_rs,27.60085612,0.32455587500459765,28.06941367957103,0.46855755957103185,1.4436884236478364
planck_lcdm,1.321,DH_over_rs,14.17602155,0.22455135092000672,14.059474101047385,-0.11654744895261437,-0.5190235929336839
planck_lcdm,1.484,DM_over_rs,30.51190063,0.763557644844186,30.262518339419028,-0.2493822905809715,-0.32660571505621067
planck_lcdm,1.484,DH_over_rs,12.81699964,0.5180117691713191,12.875090396513073,0.058090756513072606,0.11214176968604854
planck_lcdm,2.33,DH_over_rs,8.631545674846294,0.10106245296844917,8.612571207414225,-0.01897446743206821,-0.18774991972529972
planck_lcdm,2.33,DM_over_rs,38.988973961958784,0.5316820280957407,39.16601284615507,0.17703888419628555,0.33297887617221833
